id,slug,nombre,categoria,descripcion,caracteristicas,imagen,publicar,destacado,orden,contacto_id,precio,moneda,mostrar_precio,ficha_tecnica,modelo_3d,poster_3d,galeria
P01,cocina-semiindustrial-4-hornillas-horno-electrico,Cocina semiindustrial 4 hornillas + horno eléctrico,linea-caliente,Cocina de cuatro hornillas con horno eléctrico y rostizador para el hogar o el negocio.,"4 parrillas de fierro fundido | Quemadores de 4"" de fierro fundido | Horno eléctrico con rostizador incorporado | Función gratinado | Estructura resistente y excelente acabado",/images/products/cocina-semiindustrial-4-hornillas-horno-electrico.webp,TRUE,TRUE,1,ventas,,PEN,FALSE,,,,
P02,cocina-industrial-de-3-hornillas,Cocina industrial de 3 hornillas,linea-caliente,"Tres hornillas con controles independientes, estructura reforzada y repisa inferior para cocinas profesionales.","3 hornillas de alta potencia con controles independientes | Acero inoxidable AISI 304 | Estructura reforzada en tubo rectangular de 6"" x 2"" | Parrillas de fierro fundido importado | Repisa inferior | Patas antideslizantes; fabricación a medida",/images/products/cocina-industrial-de-3-hornillas.jpg,TRUE,FALSE,2,ventas,,PEN,FALSE,,,,
P03,cocina-industrial-de-3-parrillas,Cocina industrial de 3 parrillas (CÓD-CIF-03),linea-caliente,Cocina de tres quemadores con superficie amplia de cocción y repisa inferior.,"Acero inoxidable | 3 quemadores de alta potencia | Repisa inferior | Ideal para restaurantes, cafeterías y cocinas profesionales",/images/products/cocina-industrial-de-3-parrillas.webp,TRUE,TRUE,3,ventas,,PEN,FALSE,,,,
P04,cocina-industrial-4-hornillas-tipo-isla-plancha-ho,Cocina industrial 4 hornillas tipo isla + plancha + horno (CIH-4P),linea-caliente,"Cuatro hornillas, plancha y horno integrados en una cocina de diseño tipo isla.",4 hornillas de alta potencia | Plancha incorporada | Horno para cocinar a la par distintos platillos | Diseño tipo isla en acero inoxidable,/images/products/cocina-industrial-4-hornillas-tipo-isla-plancha-ho.webp,TRUE,FALSE,4,ventas,,PEN,FALSE,,,,
P05,cocina-industrial-tipo-isla-4-parrillas-plancha-ho,Cocina industrial tipo isla 4 parrillas + plancha + horno (CÓD-CHI-04),linea-caliente,"Equipo tipo isla con cuatro parrillas, plancha y horno para diferentes preparaciones.",4 parrillas clásicas | 1 plancha | Horno incorporado | Acero inoxidable,/images/products/cocina-industrial-tipo-isla-4-parrillas-plancha-ho.webp,TRUE,FALSE,5,ventas,,PEN,FALSE,,,,
P06,horno-multiuso,Horno multiuso (HI-MU),linea-caliente,"Horno de uso comercial para panadería, pastelería y otras preparaciones.",Cocción uniforme | Funcionamiento continuo por horas | Uso comercial / pastelería / panadería,/images/products/horno-multiuso.webp,TRUE,FALSE,6,ventas,,PEN,FALSE,,,,
P07,horno-ecologico-para-pollo-a-la-brasa,Horno ecológico para pollo a la brasa,linea-caliente,Horno para pollo a la brasa construido en acero inoxidable AISI 304.,Bajo mantenimiento y fácil limpieza | Menos humo y menor consumo de carbón | Construcción resistente y duradera en AISI 304,/images/products/horno-ecologico-para-pollo-a-la-brasa.webp,TRUE,FALSE,7,ventas,,PEN,FALSE,,,,
P08,horno-pollero-ecologico,Horno pollero ecológico (CÓD-HPE-1),linea-caliente,Horno pollero con interior de ladrillos refractarios y estructura de acero inoxidable.,Ladrillos refractarios interiores | Acero inoxidable | Diseño ecológico,/images/products/horno-pollero-ecologico.webp,TRUE,FALSE,8,ventas,,PEN,FALSE,,,,
P09,parrilla-premium-plancha-y-parrilla-a-carbon,Parrilla premium / Plancha y parrilla a carbón,linea-caliente,"Parrilla con elevación del carbón y encendido a gas, disponible en medidas personalizadas.",Acero inoxidable 304 | Sistema de elevación del carbón | Encendido a gas; 02 quemadores | Ladrillos refractarios | Medidas personalizadas; producto 100% peruano | Envíos a todo el país,/images/products/parrilla-premium-plancha-y-parrilla-a-carbon.webp,TRUE,TRUE,9,ventas,,PEN,FALSE,,,,
P10,parrilla-grande,Parrilla grande (CÓD-PGI-1),linea-caliente,"Parrilla con sistema de elevación, ladrillos refractarios y ruedas para traslado.",Sistema de elevación | Ladrillos refractarios | Acero inoxidable | Ruedas para traslado,/images/products/parrilla-grande.webp,TRUE,FALSE,10,ventas,,PEN,FALSE,,,,
P11,caja-china-grande,Caja china grande (CÓD-CC-1T1V),linea-caliente,Caja china de acero inoxidable con tapa ahumadora y puerta con visor de vidrio.,Tapa ahumadora | Puerta con visor de vidrio | Acero inoxidable,/images/products/caja-china-grande.webp,TRUE,FALSE,11,ventas,,PEN,FALSE,,,,
P12,freidora-doble-profesional,Freidora doble profesional,linea-caliente,"Freidora de doble poza con controles independientes, gabinete inferior y ruedas industriales.","Acero inoxidable AISI 304 | Doble poza, 2 canastillas | Control independiente de temperatura | Gabinete inferior de almacenamiento | Ruedas industriales | Ideal para pollerías, fast food, restaurantes y hoteles",/images/products/freidora-doble-profesional.jpg,TRUE,FALSE,12,ventas,,PEN,FALSE,,,,
P13,freidora-de-papa-profesional,Freidora de papa profesional (2 canastillas),linea-caliente,Freidora de dos canastillas con control de temperatura y formato compacto con ruedas.,"Acero inoxidable AISI 304 | 2 canastillas con mangos de fácil agarre | Control preciso de temperatura | Alta capacidad de fritura, diseño compacto | Equipada con ruedas",/images/products/freidora-de-papa-profesional.jpg,TRUE,FALSE,13,ventas,,PEN,FALSE,,,,
P14,freidora-automatica-de-papas,Freidora automática de papas,linea-caliente,Freidora automática en acero inoxidable para negocios de alta producción.,Acero inoxidable Inox 304 | Funcionamiento automático | Alta producción | Ahorro de gas | Fácil limpieza y mantenimiento,/images/products/freidora-automatica-de-papas.jpg,TRUE,FALSE,14,ventas,,PEN,FALSE,,,,
P15,modulo-de-comida-4-en-1,Módulo de comida 4 en 1 (carrito salchipapero),linea-caliente,"Broastera, freidora, conservadora y plancha integradas en un módulo para comida rápida.",Broastera de pollo | Freidora de papas | Conservadora de alimentos | Plancha para hamburguesas | Mayor potencia de calor,/images/products/modulo-de-comida-4-en-1.jpg,TRUE,FALSE,15,ventas,,PEN,FALSE,,,,
P16,armario-refrigerado-de-2-puertas,Armario refrigerado de 2 puertas,linea-fria,Armario de dos puertas con control digital de temperatura y niveles regulables.,"Acero inoxidable AISI 304 | 2 puertas / gran capacidad | Control digital de temperatura | Parrillas y niveles regulables | Diseño higiénico, fácil de limpiar",/images/products/armario-refrigerado-de-2-puertas.webp,TRUE,TRUE,16,ventas,,PEN,FALSE,,,,
P17,armarios-frigorificos-camara-frigorifica,Armarios frigoríficos / Cámara frigorífica,linea-fria,"Armarios de acero inoxidable AISI 304 para congelación y conservación, en diferentes capacidades.",Uso profesional | Diferentes capacidades y modelos | Envíos a nivel nacional,/images/products/armarios-frigorificos-camara-frigorifica.webp,TRUE,FALSE,17,ventas,,PEN,FALSE,,,,
P18,mesa-fria,Mesa fría,linea-fria,Mesa refrigerada de acero inoxidable 304 para conservar o congelar alimentos.,Eficiencia energética | Diseño compacto y funcional | Conserva o congela alimentos | Íntegramente en acero inoxidable 304,/images/products/mesa-fria.webp,TRUE,FALSE,18,ventas,,PEN,FALSE,,,,
P19,visicooler-580-litros,Visicooler 580 litros,linea-fria,Visicooler para bebidas con capacidad de 580 litros y sistema fan cooling.,Capacidad 580 L | Fan cooling,/images/products/visicooler-580-litros.webp,TRUE,FALSE,19,ventas,,PEN,FALSE,,,,
P20,vitrina-refrigerada,Vitrina refrigerada (CÓD-VRC-1),linea-fria,"Vitrina para almacenar y exhibir carnes, embutidos y lácteos con refrigeración.","Exhibición refrigerada | Ideal para carnes, embutidos y lácteos",/images/products/vitrina-refrigerada.webp,TRUE,FALSE,20,ventas,,PEN,FALSE,,,,
P21,abatidor-de-temperatura-de-5-bandejas,Abatidor de temperatura de 5 bandejas,linea-fria,Equipo de cinco bandejas para enfriar o congelar alimentos rápidamente.,5 bandejas | Acero inoxidable,/images/products/abatidor-de-temperatura-de-5-bandejas.webp,TRUE,TRUE,21,ventas,,PEN,FALSE,,,,
P22,exhibidor-refrigerado-abierto,Exhibidor refrigerado abierto,linea-fria,Exhibidor abierto de 116 cm de ancho con cuatro repisas para bebidas.,116 cm de ancho | 4 repisas | Tipo open cooler,/images/products/exhibidor-refrigerado-abierto.webp,TRUE,FALSE,22,ventas,,PEN,FALSE,,,,
P23,lavatorio-con-repisas-superiores,Lavatorio con repisas superiores,linea-neutra,"Lavatorio con almacenamiento superior, fabricado según los requerimientos del espacio.",Diseño funcional | Alta resistencia | Fácil limpieza e higiene | Acabado profesional | Fabricación según requerimiento,/images/products/lavatorio-con-repisas-superiores.webp,TRUE,FALSE,23,ventas,,PEN,FALSE,,,,
P24,lavatorio-de-1-poza,Lavatorio de 1 poza,linea-neutra,"Lavatorio de una poza profunda con escurridor derecho, respaldo y repisa inferior.",Acero inoxidable AISI 304 | 1 poza profunda 50 x 50 x 32 cm | Escurridor al lado derecho | Respaldo contra salpicaduras | Repisa inferior,/images/products/lavatorio-de-1-poza.webp,TRUE,TRUE,24,ventas,,PEN,FALSE,,,,
P25,lavatorio-de-2-pozas-escurridores,Lavatorio de 2 pozas + escurridores (L2P-EVPC),linea-neutra,"Lavatorio de dos pozas con escurridores para vasos, platos y cubiertos.",2 pozas | Escurridor de vasos | Escurridor de platos y cucharas | Acero inoxidable 304,/images/products/lavatorio-de-2-pozas-escurridores.webp,TRUE,FALSE,25,ventas,,PEN,FALSE,,,,
P26,lavadero-de-2-pozas-con-descanso,Lavadero de 2 pozas con descanso (CÓD-LVD-2),linea-neutra,"Lavadero de dos pozas con un descanso y división, fabricado en acero inoxidable.",2 pozas | 1 descanso | División | Acero inoxidable,/images/products/lavadero-de-2-pozas-con-descanso.webp,TRUE,FALSE,26,ventas,,PEN,FALSE,,,,
P27,estante-de-5-niveles,Estante de 5 niveles,mobiliario,"Estante de cinco niveles en acero inoxidable AISI 304, con fabricación a medida.",Acero inoxidable AISI 304 | 5 niveles de almacenamiento | Estructura de 1.2 mm de espesor | Fabricación a medida,/images/products/estante-de-5-niveles.jpg,TRUE,FALSE,27,ventas,,PEN,FALSE,,,,
P28,mesa-central-de-trabajo,Mesa central de trabajo (CÓD-MT-1D),mobiliario,Mesa central de acero inoxidable con una división inferior para organizar el trabajo.,1 división inferior | 100% acero inoxidable,/images/products/mesa-central-de-trabajo.jpg,TRUE,FALSE,28,ventas,,PEN,FALSE,,,,
P29,estacion-bartender-profesional,Estación bartender profesional,mobiliario,"Estación de acero inoxidable para bares, restaurantes y hoteles, con fabricación a medida.","Acero inoxidable AISI 304 | Área para hielo, botellas e insumos | Compartimientos de almacenamiento | Fabricación a medida",/images/products/estacion-bartender-profesional.jpg,TRUE,FALSE,29,ventas,,PEN,FALSE,,,,
P30,licuadora-industrial,Licuadora industrial,linea-neutra,Licuadora industrial de acero inoxidable AISI 304 disponible en cuatro capacidades.,"Acero inoxidable AISI 304 | Capacidades: 10, 15, 20 y 25 litros | Estructura robusta de uso industrial | Fácil limpieza y mantenimiento",/images/products/licuadora-industrial.jpg,TRUE,FALSE,30,ventas,,PEN,FALSE,,,,
P31,licuadora-industrial-con-base,Licuadora industrial (modelo con base),linea-neutra,Licuadora industrial con base de acero inoxidable 304 disponible en tres capacidades.,"Capacidades: 10, 15 y 20 L | Ideal para juguerías, restaurantes y panaderías",/images/products/licuadora-industrial-con-base.jpg,TRUE,FALSE,31,ventas,,PEN,FALSE,,,,
P32,maquina-cremoladera-25-l,Máquina cremoladera 25 L,linea-fria,Máquina para cremoladas de 25 litros con dos tolvas.,25 litros | 2 tolvas,/images/products/maquina-cremoladera-25-l.jpg,TRUE,FALSE,32,ventas,,PEN,FALSE,,,,
